producto,precio,precio_x_unidad
LECHUGA V/CRES ORGAN PET TAEQ 120 Gr, 65,No disponible
Tomate Arbol Sel Carull 1 Und, 600,No disponible
Pimenton Colores, 68,No disponible
Perejil Crespo 100 Gr, 37,No disponible
Cebolla Encurtir Ocañera, 113,No disponible
Perejil Liso 100 Gr, 55,No disponible
FRESA ORGANICA TAEQ 250 Gr, 472,No disponible
Repollo Blanco 1 Und, 12500,No disponible
Yerbabuena Fresca Bolsa 50 Gr, 96,No disponible
REPOLLO MORADO E UNIDAD 1 Und, 1500,No disponible
PINA PORCIONADA TARRINA 300 Gr, 1333,No disponible
TOMATE UVALINA 200 Gr, 37,No disponible
UVA RED GLOBE NACIONAL 1000 Gr, 209,No disponible
Lechuga Lisa Orgánica TAEQ 120 Gr, 8083,No disponible
Cebolla Junca 300 Gr, 2833,No disponible
LECHUGA VERDE LISA PET 130 Gr, 6615,No disponible
Papa Coroza C 2000 Gr, 49,No disponible
Ensalada Vital Green Kosher TAEQ 180 Gr, 6222,No disponible
ARANDANOS(Blue Berrie) 125 Gr, 68,No disponible
Espinaca Antioquena 500 Gr, 7,No disponible
Guayaba Manzana 1 Und, 3200,No disponible
Champinon Pleurotus (Orellana) 250 Gr, 708,No disponible
Cebollin, 55,No disponible
CILANTRO TAEQ 50 Gr, 46,No disponible
Mango Congelado 500 Gr, 178,No disponible
Espinaca Baby Orgánica TAEQ 100 Gr, 102,No disponible
Curuba Larga 1 Und, 900,No disponible
Jugo CARULLA 500 Ml, 12,No disponible
Espinaca Tierna Kosher TAEQ 150 Gr, 74,No disponible
Cidra O Guatila 1 Und, 2600,No disponible
Kale Baby 100 Gr, 109,No disponible
Perejil Crespo Kosher TAEQ 100 Gr, 42,No disponible
Espinaca Bogotana 300 Gr, 2433,No disponible
Guanabana Congelada 500 Gr, 214,No disponible
ZANAHORIA BABY NATURAL GRIMMWAY FARMS 454 Gr, 5507,No disponible
Lechuga Batavia, 96,No disponible
Mix Berries Caja 550 Gr, 11273,No disponible
Jugo CARULLA Limon (500 Ml), 226,No disponible
LAUREL BOLSA 50 Gr, 98,No disponible
ZUCHINI AMARILLO TAEQ 250 Gr, 388,No disponible
Limon Comun 1 Und, 300,No disponible
Cilantro Bolsa 50 Gr, 98,No disponible
Arándanos Eureka Premium 250 Gr, 94,No disponible
FLOR DE JAMAICA 50 Gr, 200,No disponible
CHONTADURO VACIO 250 Gr, 52,No disponible
GUASCA FRESCA CAPUCHON 50 Gr, 24,No disponible
Granadilla Sel C, 118,No disponible
Mora 500 Gr, 92,No disponible
Maracuya Congelada 500 Gr, 27,No disponible
Brotes 50 Gr, 216,No disponible
ACELGA ORGANICA 500 Gr, 212,No disponible
Arveja En Vaina C 500 Gr, 174,No disponible
Manzana Nacional TAEQ 1000 Gr, 17,No disponible
